auid,name,EthnicSeer,prop,lastname,firstname,Ethnea,Genni,SexMac,SSNgender,Highest_probF_ethnicity,Highest_probF_value
10540537_3,Kausar Aamir,IND,0.9718678022975638,Aamir,Kausar,ARAB,F,andy,-,ARAB,94.315
8114263_1,Muhammad Amir,ARA,0.8763108637027679,Amir,Muhammad,ISRAELI-ARAB,M,male,M,ARAB,97.422
9506035_7,Ali Amouri,ARA,0.9783079543530554,Amouri,Ali,ARAB,M,male,-,ARAB,71.515
11875712_4,Gisela Ambagtsheer,GER,0.911253194626225,Ambagtsheer,Gisela,DUTCH-GERMAN,F,female,F,GERMAN,75.08
17373934_4,Anjum Ara,IND,0.4852162551654518,Ara,Anjum,ARAB,F,female,F,ARAB,86.487
15178064_1,Nadia Aarab,GER,0.2908848652290144,Aarab,Nadia,ARAB,F,female,F,ARAB,35.468
12665552_1,Azadeh A'rabi,ARA,0.9980593542330136,A'rabi,Azadeh,ARAB,F,andy,F,ARAB,97.741
17504973_1,Shahram Aarabi,ARA,0.5654349244889985,Aarabi,Shahram,ARAB,M,male,M,ARAB,97.339
5895671_1,Yasuyuki Arakawa,JAP,0.9999641214377948,Arakawa,Yasuyuki,JAPANESE,M,male,-,JAPANESE,100.0
9907288_1,Fabio Aarao Reis,ITA,0.7667146706806137,Aarao Reis,Fabio,HISPANIC,M,male,M,ITALIAN,71.647
15597355_3,Laila Aardal,IND,0.623794741677773,Aardal,Laila,NORDIC,F,female,F,ARAB,75.835
1137699_3,Jan Aarnoudse,GER,0.5246081526859957,Aarnoudse,Jan,DUTCH,M,male,-,DUTCH,45.773
10048292_4,Wilbert Aarnoudse,GER,0.5458763243509789,Aarnoudse,Wilbert,DUTCH,M,male,M,DUTCH,94.946
10764134_9,Kaytura Felix-Aaron,SPA,0.5524843074613323,Felix-Aaron,Kaytura,HISPANIC,F,andy,-,HISPANIC,98.322
10639777_4,Manju Aron,IND,0.9636385888568616,Aron,Manju,INDIAN,F,mostly_female,F,INDIAN,97.06
1462329_2,Dag Aarsland,GER,0.7239315763862597,Aarsland,Dag,NORDIC,M,male,M,NORDIC,97.586
12780786_4,Tineke Aarts,GER,0.8832327263352217,Aarts,Tineke,DUTCH,F,female,F,DUTCH,99.818
2748342_2,Gert-Jan Arts,GER,0.9126589501002492,Arts,Gert-Jan,DUTCH,M,andy,-,DUTCH,99.673
10419143_2,Helle Aarup Skou,IND,0.3986299551695794,Aarup Skou,Helle,NORDIC,F,female,-,NORDIC,100.0
3603480_1,Finn Erik Aas,GER,0.5553451449315284,Aas,Finn Erik,NORDIC,M,andy,-,NORDIC,99.911
7164065_1,Turid Hertel-Aas,GER,0.9589050973305862,Hertel-Aas,Turid,NORDIC,F,female,-,NORDIC,99.659
7157275_2,Arne Asberg,GER,0.859397280472861,Asberg,Arne,NORDIC,M,male,M,NORDIC,85.511
1689662_3,Hans Christian Aasheim,GER,0.9987672738935672,Christian Aasheim,Hans,GERMAN,M,male,M,NORDIC,39.942
10563179_1,Per Asheim,GER,0.7718166092727483,Asheim,Per,NORDIC,M,male,M,NORDIC,100.0
936141_1,Olaf Gjerlow Aasland,GER,0.7569899479179972,Gjerlow Aasland,Olaf,GERMAN-NORDIC,M,male,M,GERMAN,82.431
18591803_1,Mona El Aasr,ARA,0.901134011056581,El Aasr,Mona,ARAB,F,female,F,ARAB,68.555
8833519_1,Anne Nordrehaug Astrom,FRN,0.591439033327336,Nordrehaug Astrom,Anne,NORDIC,F,female,F,FRENCH,43.125
2595730_2,Monica Astrom,ITA,0.5255538875687363,Astrom,Monica,NORDIC,F,female,F,HISPANIC,44.508
15631488_3,Sivakumar Aathimanikandan,IND,0.999837972159596,Aathimanikandan,Sivakumar,INDIAN,M,male,-,INDIAN,99.765
18613559_1,Azriani Ab Rahman,ARA,0.944628871477354,Ab Rahman,Azriani,ARAB,F,andy,-,ARAB,64.663
11195161_2,Atiya Abdul Sallam,ARA,0.6396195400893042,Abdul Sallam,Atiya Abdul,ARAB,M,andy,-,ARAB,99.25
9509569_4,Alexandre Muxfeldt Ab'Saber,RUS,0.5752654732561142,Muxfeldt Ab'Saber,Alexandre,HISPANIC,M,male,M,FRENCH,49.202
11510608_4,Elmas Abaci Unlu,SPA,0.4519057674907729,Abaci Unlu,Elmas,TURKISH,F,female,-,TURKISH,97.693
8871377_3,Ersi Abaci Kalfoglu,ITA,0.7244200022962407,Kalfoglu,Ersi Abaci,TURKISH,F,andy,-,TURKISH,76.813
2471749_1,Yusuf Hakan Abacioglu,ITA,0.6436842044673662,Hakan Abacioglu,Yusuf,TURKISH,M,male,M,TURKISH,99.61
1751070_2,Alfredo Abad-Barahona,ITA,0.539620154650493,Abad-Barahona,Alfredo,HISPANIC,M,male,M,HISPANIC,72.915
6254560_1,Lorenzo Abad de Velasco,SPA,0.8850579066374645,Abad de Velasco,Lorenzo,HISPANIC,M,male,M,ITALIAN,81.93
8666515_1,Maria Francisca Abad Garcia,SPA,0.9847562269106684,Francisca Abad Garcia,Maria,HISPANIC,F,mostly_female,F,HISPANIC,40.307
14416550_2,Teresa Abad Grillo,SPA,0.9502628014969312,Abad Grillo,Teresa,HISPANIC,F,female,F,HISPANIC,56.399
3034174_2,Mar Abad-Hernandez,IND,0.4499703356913703,Abad-Hernandez,Mar,HISPANIC,F,female,-,HISPANIC,97.432
